record_type,schema_name,view_name,relkind,owner_role,security_invoker,reloptions_text,grantee,privilege_type,definition,table_schema,table_name
view_grants,public,venue_stats_public,v,postgres,,{security_invoker=true},anon,SELECT,,,
view_grants,public,venue_stats_public,v,postgres,,{security_invoker=true},authenticated,SELECT,,,
view_posture,public,catch_comments_with_admin,v,postgres,t,{security_invoker=true},,,,,
view_posture,public,catch_mention_candidates,v,postgres,t,{security_invoker=true},,,,,
view_posture,public,leaderboard_scores_detailed,v,postgres,t,{security_invoker=true},,,,,
view_posture,public,venue_stats,v,postgres,t,{security_invoker=true},,,,,
view_posture,public,venue_stats_public,v,postgres,t,{security_invoker=true},,,,,
view_table_usage,public,catch_comments_with_admin,v,postgres,,{security_invoker=true},,,,public,catch_comments
view_table_usage,public,catch_comments_with_admin,v,postgres,,{security_invoker=true},,,,public,catches
view_table_usage,public,catch_mention_candidates,v,postgres,,{security_invoker=true},,,,public,catch_comments
view_table_usage,public,catch_mention_candidates,v,postgres,,{security_invoker=true},,,,public,catches
view_table_usage,public,catch_mention_candidates,v,postgres,,{security_invoker=true},,,,public,profiles
view_table_usage,public,leaderboard_scores_detailed,v,postgres,,{security_invoker=true},,,,public,catch_leaderboard_scores
view_table_usage,public,leaderboard_scores_detailed,v,postgres,,{security_invoker=true},,,,public,catch_rating_stats
view_table_usage,public,leaderboard_scores_detailed,v,postgres,,{security_invoker=true},,,,public,catches
view_table_usage,public,leaderboard_scores_detailed,v,postgres,,{security_invoker=true},,,,public,profiles
view_table_usage,public,venue_stats,v,postgres,,{security_invoker=true},,,,public,catches
view_table_usage,public,venue_stats,v,postgres,,{security_invoker=true},,,,public,venue_ratings
view_table_usage,public,venue_stats,v,postgres,,{security_invoker=true},,,,public,venues
view_table_usage,public,venue_stats_public,v,postgres,,{security_invoker=true},,,,public,venue_stats
view_table_usage,public,venue_stats_public,v,postgres,,{security_invoker=true},,,,public,venues
